Channel,Link
Ted-Ed,https://www.youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA
Kurzgesagt,https://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q
Minute Physics,https://www.youtube.com/channel/UCUHW94eEFW7hkUMVaZz4eDg
Veritasium,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA
Vsauce,https://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA
SciShow,https://www.youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow
PBS Space Time,https://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g
National Geographic,https://www.youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A
RealLifeLore,https://www.youtube.com/@RealLifeLore
MinuteEarth,https://www.youtube.com/c/minuteearth
MrBeast,https://www.youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
PewDiePie,https://www.youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
Markiplier,https://www.youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ
Jacksepticeye,https://www.youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g
CaseyNeistat,https://www.youtube.com/c/Caseyneistatofficial
Ryan Trahan,https://www.youtube.com/c/trahan
The Tonight Show Starring Jimmy Fallon,https://www.youtube.com/channel/UC8-Th83bH_thdKZDJCrn88g
The Daily Show with Trevor Noah,https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA
The Ellen DeGeneres Show,https://www.youtube.com/c/TheEllenShow
Jimmy Kimmel Live,https://www.youtube.com/@JimmyKimmelLive
Saturday Night Live,https://www.youtube.com/@SaturdayNightLive
The Daily Show with Trevor Noah,https://www.youtube.com/channel/UCwWhs_6x42TyRM4Wstoq8HA
Kapil Sharma,https://www.youtube.com/c/KapilSharmaK9/videos
Tanmay Bhat,https://www.youtube.com/c/TanmayBhatYouTube
Ashish Chanchlani,https://www.youtube.com/c/ashishchanchlanivines
Amit Bhadana,https://www.youtube.com/c/AmitBhadana
BB Ki Vines,https://www.youtube.com/c/BBkiVines
BBC News,https://www.youtube.com/c/BBCNews
CNN,https://www.youtube.com/@Channel
Al Jazeera English,https://www.youtube.com/c/AlJazeeraEnglish
DW News,https://www.youtube.com/c/DWNews
France 24 English,https://www.youtube.com/c/France24English
RT,https://www.youtube.com/channel/UCs_D7ndkM7C3DF5lLCaAQoA
CBS News,https://www.youtube.com/c/CBSNews
Fox News,https://www.youtube.com/@FoxNews
NDTV,https://www.youtube.com/c/NDTV
MSNBC,https://www.youtube.com/c/MSNBC
ABC News,https://www.youtube.com/c/ABCNews
