Channel,Link
Ted-Ed,https://www.youtube.com/channel/UCsooa4yRKGN_zEE8iknghZA
Kurzgesagt,https://www.youtube.com/channel/UCsXVk37bltHxD1rDPwtNM8Q
Minute Physics,https://www.youtube.com/channel/UCUHW94eEFW7hkUMVaZz4eDg
Veritasium,https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA
Vsauce,https://www.youtube.com/channel/UC6nSFpj9HTCZ5t-N3Rm3-HA
SciShow,https://www.youtube.com/channel/UCZYTClx2T1of7BRZ86-8fow
PBS Space Time,https://www.youtube.com/channel/UC7_gcs09iThXybpVgjHZ_7g
National Geographic,https://www.youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A
RealLifeLore,https://www.youtube.com/@RealLifeLore
MinuteEarth,https://www.youtube.com/c/minuteearth
